*******************************************************************************
Database: 11702002
Sequence: CG5-1702-002
File size: 179712
Database effective from 02 FEB 2017 to 02 MAR 2017
Report compiled on Monday Dec 25 2023
OneNav+ Version: 1.18.0
*******************************************************************************
HONEYWELL PROPRIETARY AND CONFIDENTIAL
COPYRIGHT © 2011-2023
HONEYWELL INTERNATIONAL INC.
UNPUBLISHED WORK. ALL RIGHTS RESERVED 
*******************************************************************************
Summary
-------------------------
Table Name,Record Count
Airports,97
Airways,2135
Airway Legs,17205
Alternates,0
Company Routes,0
Company Route Legs,0
FuelPolicy,8
Airline Policy,0
HoldingPatterns,0
Gates,0
GridMORA,0
Navaids,1131
NDBs,264
Procedures ,5146
Procedure Legs,21583
Runways,286
Waypoints,9082

Airports
-------------------------
Ident,RevCode,Latitude,Longitude,MagVar,Elevation,SpeedLimitCoded,SpeedLimit,SpeedLimitAltitude,TransAltitude,ProceduresExist,RunwaysExist,GatesExist,AlternatesExist,ICAO,MaxRunwayLength,SIDs,STARs,Approaches,EOSIDs
ENGM,B,N60-12-10.02,E011-05-02.03,,680, ,,,7000,N,Y,N,N,,11811,N,N,N,N
LBSF,B,N42-41-41.98,E023-24-29.97,,1740, ,,,12000,Y,Y,N,N,,11811,Y,Y,Y,N
LBWN,B,N43-13-55.03,E027-49-31.01,,230, ,,,12000,Y,Y,N,N,,8258,Y,Y,Y,N
LCLK,B,N34-52-44.00,E033-37-49.04,,10, ,,,9000,Y,Y,N,N,,9823,Y,Y,Y,N
LGRP,B,N36-24-19.24,E028-05-10.18,,20, ,,,6000,Y,Y,N,N,,10840,Y,Y,Y,N
LIMC,B,N45-37-47.99,E008-43-23.01,,770, ,,,6000,N,Y,N,N,,12861,N,N,N,N
LIRA,B,N41-47-58.21,E012-35-49.61,,430, ,,,6000,Y,Y,N,N,,7242,Y,Y,Y,N
LTAC,B,N40-07-41.01,E032-59-41.97,,3130,Y,250,15000,10000,Y,Y,N,N,,12310,Y,Y,Y,N
LTAI,B,N36-54-01.03,E030-47-33.96,,180, ,,,15000,N,Y,N,N,,11155,N,N,N,N
LTAY,B,N37-47-15.99,E029-42-17.97,,2800, ,,,12000,N,Y,N,N,,9843,N,N,N,N
LTBA,B,N40-58-34.22,E028-48-50.96,,160, ,,,10000,Y,Y,N,N,,9842,Y,Y,Y,N
LTBJ,B,N38-17-21.58,E027-09-18.18,,410, ,,,10000,Y,Y,N,N,,10630,Y,Y,Y,N
LTCC,B,N37-53-32.96,E040-12-04.03,,2250, ,,,10000,N,Y,N,N,,11644,N,N,N,N
LTCE,B,N39-57-21.02,E041-10-14.00,,5770, ,,,15000,N,Y,N,N,,12500,N,N,N,N
LTFC,B,N37-51-21.02,E030-22-00.99,,2840, ,,,12000,Y,Y,N,N,,9843,Y,Y,Y,N
LTFJ,B,N40-53-53.96,E029-18-32.99,,310, ,,,10000,Y,Y,N,N,,9843,Y,Y,Y,N
OAHR,B,N34-12-36.03,E062-13-42.04,,3290, ,,,14000,Y,Y,N,N,,9888,Y,Y,Y,N
OAKB,B,N34-33-57.03,E069-12-44.98,,5880, ,,,14000,Y,Y,N,N,,11520,Y,N,Y,N
OAKN,B,N31-30-20.98,E065-50-52.01,,3340, ,,,14000,Y,Y,N,N,,10497,Y,N,Y,N
OAMS,B,N36-42-25.03,E067-12-33.99,,1290, ,,,14000,Y,Y,N,N,,9836,Y,N,Y,N
OBBI,B,N26-16-15.03,E050-38-00.98,,10, ,,,13000,Y,Y,N,N,,13005,N,Y,Y,N
OIAA,B,N30-22-15.97,E048-13-41.98,,10, ,,,3000,Y,Y,N,N,,10180,Y,N,Y,N
OIAD,B,N32-26-00.01,E048-23-00.02,,470, ,,,5000,Y,Y,N,N,,12641,Y,Y,N,N
OIAM,B,N30-33-31.97,E049-09-02.01,,10, ,,,3000,N,Y,N,N,,8874,N,N,N,N
OIAW,B,N31-20-14.97,E048-45-37.03,,70, ,,,4000,Y,Y,N,N,,11148,Y,Y,Y,N
OIBB,B,N28-56-58.01,E050-49-49.03,,70, ,,,4000,Y,Y,N,N,,14662,Y,Y,Y,N
OIBK,B,N26-31-38.99,E053-58-44.96,,100, ,,,3000,Y,Y,N,N,,11998,Y,Y,N,N
OIBP,B,N27-22-46.03,E052-44-16.03,,20, ,,,7000,Y,Y,N,N,,13117,Y,Y,Y,N
OICC,B,N34-20-52.97,E047-09-24.00,,4300, ,,,13000,Y,Y,N,N,,10564,Y,Y,Y,N
OICK,B,N33-26-18.98,E048-16-50.00,,3790, ,,,11500,Y,Y,N,N,,10489,Y,Y,Y,N
OIFM,B,N32-45-02.96,E051-51-46.03,,5060, ,,,13000,Y,Y,N,N,,14426,Y,Y,Y,N
OIFS,B,N32-17-50.03,E050-50-31.98,,6720, ,,,13000,Y,Y,N,N,,9859,Y,Y,Y,N
OIGG,B,N37-19-23.97,E049-37-04.00,,-40, ,,,4000,Y,Y,N,N,,9570,Y,Y,Y,N
OIHH,B,N34-52-10.01,E048-33-02.01,,5770, ,,,13000,Y,Y,N,N,,12615,Y,Y,Y,N
OIHR,B,N34-08-13.01,E049-50-31.00,,5450, ,,,12000,Y,Y,N,N,,12139,Y,N,N,N
OIIE,B,N35-24-57.97,E051-09-07.97,,3310, ,,,9000,Y,Y,N,N,,13773,Y,Y,Y,N
OIII,B,N35-41-20.02,E051-18-52.97,,3960, ,,,9000,Y,Y,N,N,,13222,Y,Y,Y,N
OIKB,B,N27-13-06.98,E056-22-40.01,,20, ,,,4000,Y,Y,N,N,,12011,Y,Y,Y,N
OIKK,B,N30-16-27.97,E056-57-03.99,,5740, ,,,12000,Y,Y,N,N,,12616,Y,Y,Y,N
OIKQ,B,N26-45-07.00,E055-53-49.97,,50, ,,,3000,Y,Y,N,N,,13861,Y,Y,Y,N
OIMB,B,N32-53-53.04,E059-15-58.00,,4980, ,,,11000,Y,Y,N,N,,12457,Y,Y,Y,N
OIMM,B,N36-14-03.03,E059-38-41.96,,3270, ,,,8000,Y,Y,N,N,,12861,Y,Y,Y,N
OIMS,B,N36-10-06.97,E057-35-46.98,,3010, ,,,8000,Y,Y,N,N,,10423,Y,Y,Y,N
OIMT,B,N33-40-04.99,E056-53-36.04,,2250, ,,,10000,Y,Y,N,N,,9836,Y,Y,Y,N
OING,B,N36-54-40.97,E054-23-52.99,,0, ,,,6000,Y,Y,N,N,,9820,Y,Y,Y,N
OINZ,B,N36-38-09.03,E053-11-37.00,,40, ,,,4000,Y,Y,N,N,,8694,Y,Y,Y,N
OISL,B,N27-40-23.01,E054-23-13.98,,2640, ,,,9000,Y,Y,N,N,,10335,Y,Y,Y,N
